floor,source_file,phase,segment_type,start_idx,end_idx,raw_length,padded_to_window,label,max_change,mean_change,active_ratio,augmented
회대,회대 기름 밝음(1)_fall_01.csv,fall,liquid,0,6,7,1,기름,14.46124267578125,8.272330284118652,0.7142857142857143,0
회대,회대 기름 밝음(1)_fall_01.csv,fall,liquid,0,6,7,1,기름,14.46124267578125,8.272330284118652,0.7142857142857143,1
회대,회대 기름 밝음(1)_fall_01.csv,fall,liquid,0,6,7,1,기름,14.46124267578125,8.272330284118652,0.7142857142857143,1
회대,회대 기름 밝음(1)_fall_01.csv,fall,liquid,0,6,7,1,기름,14.46124267578125,8.272330284118652,0.7142857142857143,1
회대,회대 기름 밝음(1)_fall_01.csv,fall,liquid,0,6,7,1,기름,14.46124267578125,8.272330284118652,0.7142857142857143,1
회대,회대 기름 밝음(1)_fall_01.csv,fall,liquid,0,6,7,1,기름,14.46124267578125,8.272330284118652,0.7142857142857143,1
회대,회대 기름 어둠_fall_01.csv,fall,liquid,0,9,10,1,기름,11.4571533203125,5.585730075836182,0.5,0
회대,회대 기름 어둠_fall_01.csv,fall,liquid,0,9,10,1,기름,11.4571533203125,5.585730075836182,0.5,1
회대,회대 기름 어둠_fall_01.csv,fall,liquid,0,9,10,1,기름,11.4571533203125,5.585730075836182,0.5,1
회대,회대 기름 어둠_fall_01.csv,fall,liquid,0,9,10,1,기름,11.4571533203125,5.585730075836182,0.5,1
회대,회대 기름 어둠_fall_01.csv,fall,liquid,0,9,10,1,기름,11.4571533203125,5.585730075836182,0.5,1
회대,회대 기름 어둠_fall_01.csv,fall,liquid,0,9,10,1,기름,11.4571533203125,5.585730075836182,0.5,1
회대,회대 망고 밝음_fall_01.csv,fall,liquid,0,6,7,1,망고,21.2244873046875,15.42449951171875,1.0,0
회대,회대 망고 밝음_fall_01.csv,fall,liquid,0,6,7,1,망고,21.2244873046875,15.42449951171875,1.0,1
회대,회대 망고 밝음_fall_01.csv,fall,liquid,0,6,7,1,망고,21.2244873046875,15.42449951171875,1.0,1
회대,회대 망고 밝음_fall_01.csv,fall,liquid,0,6,7,1,망고,21.2244873046875,15.42449951171875,1.0,1
회대,회대 망고 밝음_fall_01.csv,fall,liquid,0,6,7,1,망고,21.2244873046875,15.42449951171875,1.0,1
회대,회대 망고 밝음_fall_01.csv,fall,liquid,0,6,7,1,망고,21.2244873046875,15.42449951171875,1.0,1
회대,회대 망고 어둠_fall_01.csv,fall,liquid,0,9,10,1,망고,55.6448974609375,32.40491485595703,1.0,0
회대,회대 망고 어둠_fall_01.csv,fall,liquid,0,9,10,1,망고,55.6448974609375,32.40491485595703,1.0,1
회대,회대 망고 어둠_fall_01.csv,fall,liquid,0,9,10,1,망고,55.6448974609375,32.40491485595703,1.0,1
회대,회대 망고 어둠_fall_01.csv,fall,liquid,0,9,10,1,망고,55.6448974609375,32.40491485595703,1.0,1
회대,회대 망고 어둠_fall_01.csv,fall,liquid,0,9,10,1,망고,55.6448974609375,32.40491485595703,1.0,1
회대,회대 망고 어둠_fall_01.csv,fall,liquid,0,9,10,1,망고,55.6448974609375,32.40491485595703,1.0,1
회대,회대 물 밝음_fall_01.csv,fall,liquid,0,11,12,1,물,36.37548828125,17.025497436523438,0.8333333333333334,0
회대,회대 물 밝음_fall_01.csv,fall,liquid,0,11,12,1,물,36.37548828125,17.025497436523438,0.8333333333333334,1
회대,회대 물 밝음_fall_01.csv,fall,liquid,0,11,12,1,물,36.37548828125,17.025497436523438,0.8333333333333334,1
회대,회대 물 밝음_fall_01.csv,fall,liquid,0,11,12,1,물,36.37548828125,17.025497436523438,0.8333333333333334,1
회대,회대 물 밝음_fall_01.csv,fall,liquid,0,11,12,1,물,36.37548828125,17.025497436523438,0.8333333333333334,1
