floor,source_file,phase,segment_type,start_idx,end_idx,raw_length,padded_to_window,label,max_change,mean_change,active_ratio,augmented
황대,황대 기름 밝음_fall_01.csv,fall,liquid,0,10,11,1,기름,8.4285888671875,3.5818092823028564,0.36363636363636365,0
황대,황대 기름 밝음_fall_01.csv,fall,liquid,0,10,11,1,기름,8.4285888671875,3.5818092823028564,0.36363636363636365,1
황대,황대 기름 밝음_fall_01.csv,fall,liquid,0,10,11,1,기름,8.4285888671875,3.5818092823028564,0.36363636363636365,1
황대,황대 기름 밝음_fall_01.csv,fall,liquid,0,10,11,1,기름,8.4285888671875,3.5818092823028564,0.36363636363636365,1
황대,황대 기름 밝음_fall_01.csv,fall,liquid,0,10,11,1,기름,8.4285888671875,3.5818092823028564,0.36363636363636365,1
황대,황대 기름 밝음_fall_01.csv,fall,liquid,0,10,11,1,기름,8.4285888671875,3.5818092823028564,0.36363636363636365,1
황대,황대 기름 어둠_fall_01.csv,fall,liquid,0,6,7,1,기름,8.2652587890625,4.40814208984375,0.5714285714285714,0
황대,황대 기름 어둠_fall_01.csv,fall,liquid,0,6,7,1,기름,8.2652587890625,4.40814208984375,0.5714285714285714,1
황대,황대 기름 어둠_fall_01.csv,fall,liquid,0,6,7,1,기름,8.2652587890625,4.40814208984375,0.5714285714285714,1
황대,황대 기름 어둠_fall_01.csv,fall,liquid,0,6,7,1,기름,8.2652587890625,4.40814208984375,0.5714285714285714,1
황대,황대 기름 어둠_fall_01.csv,fall,liquid,0,6,7,1,기름,8.2652587890625,4.40814208984375,0.5714285714285714,1
황대,황대 기름 어둠_fall_01.csv,fall,liquid,0,6,7,1,기름,8.2652587890625,4.40814208984375,0.5714285714285714,1
황대,황대 망고 밝음_fall_01.csv,fall,liquid,0,11,12,1,망고,17.4857177734375,11.535731315612793,1.0,0
황대,황대 망고 밝음_fall_01.csv,fall,liquid,0,11,12,1,망고,17.4857177734375,11.535731315612793,1.0,1
황대,황대 망고 밝음_fall_01.csv,fall,liquid,0,11,12,1,망고,17.4857177734375,11.535731315612793,1.0,1
황대,황대 망고 밝음_fall_01.csv,fall,liquid,0,11,12,1,망고,17.4857177734375,11.535731315612793,1.0,1
황대,황대 망고 밝음_fall_01.csv,fall,liquid,0,11,12,1,망고,17.4857177734375,11.535731315612793,1.0,1
황대,황대 망고 밝음_fall_01.csv,fall,liquid,0,11,12,1,망고,17.4857177734375,11.535731315612793,1.0,1
황대,황대 망고 어둠_fall_01.csv,fall,liquid,0,10,11,1,망고,20.20001220703125,11.181812286376953,0.7272727272727273,0
황대,황대 망고 어둠_fall_01.csv,fall,liquid,0,10,11,1,망고,20.20001220703125,11.181812286376953,0.7272727272727273,1
황대,황대 망고 어둠_fall_01.csv,fall,liquid,0,10,11,1,망고,20.20001220703125,11.181812286376953,0.7272727272727273,1
황대,황대 망고 어둠_fall_01.csv,fall,liquid,0,10,11,1,망고,20.20001220703125,11.181812286376953,0.7272727272727273,1
