floor,source_file,segment_type,start_idx,end_idx,label,max_change,mean_change,augmented
나타,나타 기름 밝음.csv,liquid_file,0,14,바닥,3.25,2.689986228942871,0
나타,나타 기름 밝음.csv,liquid_file,0,14,바닥,3.25,2.689986228942871,1
나타,나타 기름 밝음.csv,liquid_file,0,14,바닥,3.25,2.689986228942871,1
나타,나타 기름 밝음.csv,liquid_file,6,20,바닥,3.04998779296875,2.1566529273986816,0
나타,나타 기름 밝음.csv,liquid_file,6,20,바닥,3.04998779296875,2.1566529273986816,1
나타,나타 기름 밝음.csv,liquid_file,6,20,바닥,3.04998779296875,2.1566529273986816,1
나타,나타 기름 밝음.csv,liquid_file,12,26,바닥,2.449981689453125,1.9166544675827026,0
나타,나타 기름 밝음.csv,liquid_file,12,26,바닥,2.449981689453125,1.9166544675827026,1
나타,나타 기름 밝음.csv,liquid_file,12,26,바닥,2.449981689453125,1.9166544675827026,1
나타,나타 기름 밝음.csv,liquid_file,18,32,바닥,2.649993896484375,2.1699891090393066,0
나타,나타 기름 밝음.csv,liquid_file,18,32,바닥,2.649993896484375,2.1699891090393066,1
나타,나타 기름 밝음.csv,liquid_file,18,32,바닥,2.649993896484375,2.1699891090393066,1
나타,나타 기름 밝음.csv,liquid_file,24,38,바닥,2.649993896484375,2.423323631286621,0
나타,나타 기름 밝음.csv,liquid_file,24,38,바닥,2.649993896484375,2.423323631286621,1
나타,나타 기름 밝음.csv,liquid_file,24,38,바닥,2.649993896484375,2.423323631286621,1
나타,나타 기름 밝음.csv,liquid_file,30,44,바닥,2.649993896484375,2.0766561031341553,0
나타,나타 기름 밝음.csv,liquid_file,30,44,바닥,2.649993896484375,2.0766561031341553,1
나타,나타 기름 밝음.csv,liquid_file,30,44,바닥,2.649993896484375,2.0766561031341553,1
나타,나타 기름 밝음.csv,liquid_file,36,50,바닥,2.649993896484375,1.3433268070220947,0
나타,나타 기름 밝음.csv,liquid_file,36,50,바닥,2.649993896484375,1.3433268070220947,1
나타,나타 기름 밝음.csv,liquid_file,36,50,바닥,2.649993896484375,1.3433268070220947,1
나타,나타 기름 밝음.csv,liquid_file,42,56,바닥,1.550018310546875,0.756671130657196,0
나타,나타 기름 밝음.csv,liquid_file,42,56,바닥,1.550018310546875,0.756671130657196,1
나타,나타 기름 밝음.csv,liquid_file,42,56,바닥,1.550018310546875,0.756671130657196,1
나타,나타 기름 밝음.csv,liquid_file,48,62,기름,7.550018310546875,2.170013427734375,0
나타,나타 기름 밝음.csv,liquid_file,48,62,기름,7.550018310546875,2.170013427734375,1
나타,나타 기름 밝음.csv,liquid_file,48,62,기름,7.550018310546875,2.170013427734375,1
나타,나타 기름 밝음.csv,liquid_file,54,68,기름,9.550018310546875,5.6966776847839355,0
나타,나타 기름 밝음.csv,liquid_file,54,68,기름,9.550018310546875,5.6966776847839355,1
나타,나타 기름 밝음.csv,liquid_file,54,68,기름,9.550018310546875,5.6966776847839355,1
나타,나타 기름 밝음.csv,liquid_file,60,74,기름,9.550018310546875,8.030009269714355,0
나타,나타 기름 밝음.csv,liquid_file,60,74,기름,9.550018310546875,8.030009269714355,1
